case_id,factor,factor_level,seed,method,comparison_protocol,threshold_scale,target_detected,background_Pfa
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Current legacy CSI [production replay],production_replay,1.5,1.0,0.00033378849946897286
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Current legacy CSI [production replay],production_replay,2.0,1.0,3.603398573812775e-05
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Current legacy CSI [production replay],production_replay,3.0,1.0,0.0
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Current legacy CSI [production replay],production_replay,5.0,1.0,0.0
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Phase-only CSI [production replay],production_replay,0.5,1.0,0.009156425428614778
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Phase-only CSI [production replay],production_replay,0.75,1.0,0.002017903201335154
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Phase-only CSI [production replay],production_replay,1.0,1.0,0.0002977545137308451
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Phase-only CSI [production replay],production_replay,1.5,1.0,0.0
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Phase-only CSI [production replay],production_replay,2.0,1.0,0.0
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Phase-only CSI [production replay],production_replay,3.0,1.0,0.0
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Phase-only CSI [production replay],production_replay,5.0,1.0,0.0
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Current legacy CSI [scientific controlled],scientific_controlled,0.5,1.0,0.015246169018358367
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Current legacy CSI [scientific controlled],scientific_controlled,0.75,1.0,0.005444924897587619
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Current legacy CSI [scientific controlled],scientific_controlled,1.0,1.0,0.002122212107419208
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Current legacy CSI [scientific controlled],scientific_controlled,1.5,1.0,0.00032809892277347897
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Current legacy CSI [scientific controlled],scientific_controlled,2.0,1.0,3.603398573812775e-05
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Current legacy CSI [scientific controlled],scientific_controlled,3.0,1.0,0.0
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Current legacy CSI [scientific controlled],scientific_controlled,5.0,1.0,0.0
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Phase-only CSI [scientific controlled],scientific_controlled,0.5,1.0,0.009160218479745108
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Phase-only CSI [scientific controlled],scientific_controlled,0.75,1.0,0.0020141101502048247
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Phase-only CSI [scientific controlled],scientific_controlled,1.0,1.0,0.0002977545137308451
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Phase-only CSI [scientific controlled],scientific_controlled,1.5,1.0,0.0
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Phase-only CSI [scientific controlled],scientific_controlled,2.0,1.0,0.0
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Phase-only CSI [scientific controlled],scientific_controlled,3.0,1.0,0.0
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Phase-only CSI [scientific controlled],scientific_controlled,5.0,1.0,0.0
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Row complex LS / Wiener [scientific controlled],scientific_controlled,0.5,1.0,0.00922280382339554
