split,scene_id,role,method,status,pfa,hit_cells,false_clusters,selected,valid_cfar_test_cells,configured_pf,cfar_mode,oracle_lambda
test_v3,test_v3_009,target_on,J7_Deterministic_Safe_Expert_Selector,measured,0.006855199087771203,3559,103,103,519168,1e-06,dynamic,
test_v3,test_v3_009,target_off,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.006812823594674556,3537,102,102,519168,1e-06,dynamic,0.0
test_v3,test_v3_009,target_on,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.006855199087771203,3559,103,103,519168,1e-06,dynamic,0.0
test_v3,test_v3_010,target_off,J0_Current,measured,0.00762758875739645,3960,115,115,519168,1e-06,dynamic,
test_v3,test_v3_010,target_on,J0_Current,measured,0.007429194403353058,3857,106,106,519168,1e-06,dynamic,
test_v3,test_v3_010,target_off,J5_Selective_Physics_Calibration,measured,0.007644924186390532,3969,113,113,519168,1e-06,dynamic,
test_v3,test_v3_010,target_on,J5_Selective_Physics_Calibration,measured,0.007419563609467455,3852,104,104,519168,1e-06,dynamic,
test_v3,test_v3_010,target_off,J6_Joint_Phase_Surface,measured,0.008338341346153846,4329,144,144,519168,1e-06,dynamic,
test_v3,test_v3_010,target_on,J6_Joint_Phase_Surface,measured,0.00800318971893491,4155,133,133,519168,1e-06,dynamic,
test_v3,test_v3_010,target_off,J7_Deterministic_Safe_Expert_Selector,measured,0.008338341346153846,4329,144,144,519168,1e-06,dynamic,
test_v3,test_v3_010,target_on,J7_Deterministic_Safe_Expert_Selector,measured,0.00800318971893491,4155,133,133,519168,1e-06,dynamic,
test_v3,test_v3_010,target_off,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.00762758875739645,3960,115,115,519168,1e-06,dynamic,0.0
test_v3,test_v3_010,target_on,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.007429194403353058,3857,106,106,519168,1e-06,dynamic,0.0
test_v3,test_v3_011,target_off,J0_Current,measured,0.012481508875739645,6480,12,12,519168,1e-06,dynamic,
test_v3,test_v3_011,target_on,J0_Current,measured,0.01245646881163708,6467,13,13,519168,1e-06,dynamic,
test_v3,test_v3_011,target_off,J5_Selective_Physics_Calibration,measured,0.012481508875739645,6480,12,12,519168,1e-06,dynamic,
test_v3,test_v3_011,target_on,J5_Selective_Physics_Calibration,measured,0.01245646881163708,6467,13,13,519168,1e-06,dynamic,
test_v3,test_v3_011,target_off,J6_Joint_Phase_Surface,measured,0.012481508875739645,6480,12,12,519168,1e-06,dynamic,
test_v3,test_v3_011,target_on,J6_Joint_Phase_Surface,measured,0.01245646881163708,6467,13,13,519168,1e-06,dynamic,
test_v3,test_v3_011,target_off,J7_Deterministic_Safe_Expert_Selector,measured,0.012481508875739645,6480,12,12,519168,1e-06,dynamic,
test_v3,test_v3_011,target_on,J7_Deterministic_Safe_Expert_Selector,measured,0.01245646881163708,6467,13,13,519168,1e-06,dynamic,
test_v3,test_v3_011,target_off,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.012481508875739645,6480,12,12,519168,1e-06,dynamic,0.0
test_v3,test_v3_011,target_on,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.01245646881163708,6467,13,13,519168,1e-06,dynamic,0.0
test_v3,test_v3_012,target_off,J0_Current,measured,0.004603519477317554,2390,46,46,519168,1e-06,dynamic,
test_v3,test_v3_012,target_on,J0_Current,measured,0.0048962956114398425,2542,47,47,519168,1e-06,dynamic,
test_v3,test_v3_012,target_off,J5_Selective_Physics_Calibration,measured,0.0048712555473372785,2529,53,53,519168,1e-06,dynamic,
test_v3,test_v3_012,target_on,J5_Selective_Physics_Calibration,measured,0.005198702539447732,2699,54,54,519168,1e-06,dynamic,
test_v3,test_v3_012,target_off,J6_Joint_Phase_Surface,measured,0.004780726084812623,2482,60,60,519168,1e-06,dynamic,
test_v3,test_v3_012,target_on,J6_Joint_Phase_Surface,measured,0.005060019107495069,2627,61,61,519168,1e-06,dynamic,
test_v3,test_v3_012,target_off,J7_Deterministic_Safe_Expert_Selector,measured,0.004603519477317554,2390,46,46,519168,1e-06,dynamic,
