split,scene_id,family,status,look_angle_deg,true_radial_velocity_mps,true_clutter_ridge_doppler_hz,distance_to_clutter_ridge_hz,distance_to_clutter_ridge_mps
test,test_029,M3,pass,-40.0,18.984375,2086.195054945055,2086.195054945055,18.984375
test,test_030,M3,pass,-80.0,-33.046875,-3631.524725274725,3631.524725274725,33.046875
test,test_031,M3,pass,-70.0,13.359374999999998,1468.0631868131866,1468.0631868131866,13.359374999999998
test,test_032,M1+M2,pass,-60.0,2.109375,231.79945054945054,231.79945054945054,2.109375
test,test_033,M1+M2,pass,-50.0,41.484375,4558.722527472527,4558.722527472527,41.484375
test,test_034,M1+M2,pass,-40.0,28.828125,3167.925824175824,3167.925824175824,28.828125
test,test_035,M1+M2,pass,-80.0,-42.890625,-4713.255494505494,4713.255494505494,42.890625
test,test_036,M1+M2,pass,-70.0,-3.515625,-386.3324175824176,386.3324175824176,3.515625
test,test_037,M1+M2,pass,-60.0,4.921874999999999,540.8653846153845,540.8653846153845,4.921874999999999
test,test_038,M1+M2,pass,-50.0,-16.171875,-1777.1291208791208,1777.1291208791208,16.171875
test,test_039,M1+M2,pass,-40.0,-27.421875,-3013.392857142857,3013.392857142857,27.421875
test,test_040,M1+M3,pass,-80.0,-14.765625,-1622.5961538461538,1622.5961538461538,14.765625
test,test_041,M1+M3,pass,-70.0,37.265625,4095.1236263736264,4095.1236263736264,37.265625
test,test_042,M1+M3,pass,-60.0,-17.578125,-1931.6620879120878,1931.6620879120878,17.578125
test,test_043,M1+M3,pass,-50.0,-18.984375,-2086.195054945055,2086.195054945055,18.984375
test,test_044,M1+M3,pass,-40.0,30.234375,3322.458791208791,3322.458791208791,30.234375
test,test_045,M1+M3,pass,-80.0,-2.1093749999999996,-231.79945054945048,231.79945054945048,2.1093749999999996
test,test_046,M1+M3,pass,-70.0,10.546875,1158.9972527472528,1158.9972527472528,10.546875
test,test_047,M1+M3,pass,-60.0,21.796875,2395.260989010989,2395.260989010989,21.796875
test,test_048,M2+M3,pass,-50.0,-31.640625,-3476.991758241758,3476.991758241758,31.640625
test,test_049,M2+M3,pass,-40.0,-28.828124999999993,-3167.9258241758234,3167.9258241758234,28.828124999999993
test,test_050,M2+M3,pass,-80.0,-40.078125,-4404.18956043956,4404.18956043956,40.078125
test,test_051,M2+M3,pass,-70.0,-6.328125,-695.3983516483516,695.3983516483516,6.328125
test,test_052,M2+M3,pass,-60.0,-9.140624999999998,-1004.4642857142854,1004.4642857142854,9.140624999999998
test,test_053,M2+M3,pass,-50.0,40.078125,4404.18956043956,4404.18956043956,40.078125
test,test_054,M2+M3,pass,-40.0,27.421874999999996,3013.3928571428564,3013.3928571428564,27.421874999999996
test,test_055,M2+M3,pass,-80.0,-37.265625,-4095.1236263736264,4095.1236263736264,37.265625
test,test_056,M1+M2+M3,pass,-70.0,16.171875,1777.1291208791208,1777.1291208791208,16.171875
test,test_057,M1+M2+M3,pass,-60.0,-44.296875,-4867.788461538461,4867.788461538461,44.296875
test,test_058,M1+M2+M3,pass,-50.0,-13.359375,-1468.0631868131868,1468.0631868131868,13.359375
test,test_059,M1+M2+M3,pass,-40.0,-20.390624999999996,-2240.7280219780214,2240.7280219780214,20.390624999999996
test,test_060,M1+M2+M3,pass,-80.0,33.046875,3631.524725274725,3631.524725274725,33.046875
test,test_061,M1+M2+M3,pass,-70.0,34.453125,3786.057692307692,3786.057692307692,34.453125
test,test_062,M1+M2+M3,pass,-60.0,6.328124999999998,695.3983516483514,695.3983516483514,6.328124999999998
test,test_063,M1+M2+M3,pass,-50.0,-10.546875,-1158.9972527472528,1158.9972527472528,10.546875
