split,scene_id,actual_mechanism,role,method,branch,active,fallback,current_cancellation_db,deterministic_cancellation_db,oracle_cancellation_db,fallback_opportunity_cost_db,recoverable_headroom_db,deterministic_gain_db,remaining_gap_db,recovery_ratio
test,test_047,M1+M3,target_on,J5_Selective_Physics_Calibration,D0P0,False,True,3.01422825862341,3.01422825862341,8.49609058825733,5.48186232963392,5.48186232963392,0.0,5.48186232963392,0.0
test,test_047,M1+M3,target_on,J6_Joint_Phase_Surface,D0P0,False,True,3.01422825862341,3.01422825862341,8.49609058825733,5.48186232963392,5.48186232963392,0.0,5.48186232963392,0.0
test,test_048,M2+M3,target_off,J0_Current,,False,True,6.55409058940658,6.55409058940658,6.69974187209963,0.14565128269305028,0.14565128269305028,0.0,0.14565128269305028,0.0
test,test_048,M2+M3,target_off,J1_D3_delay_only,,False,True,6.55409058940658,6.55409058940658,6.69974187209963,0.14565128269305028,0.14565128269305028,0.0,0.14565128269305028,0.0
test,test_048,M2+M3,target_off,J2_P1_phase_only,,True,False,6.55409058940658,6.55968841375995,6.69974187209963,0.0,0.14565128269305028,0.0055978243533703065,0.14005345833967997,0.03843305908377974
test,test_048,M2+M3,target_off,J3_D3_P1_joint,,True,False,6.55409058940658,6.55968841375995,6.69974187209963,0.0,0.14565128269305028,0.0055978243533703065,0.14005345833967997,0.03843305908377974
test,test_048,M2+M3,target_off,J4_D3_P2_joint,,True,False,6.55409058940658,6.55969514538784,6.69974187209963,0.0,0.14565128269305028,0.005604555981260084,0.1400467267117902,0.038479276513281986
test,test_048,M2+M3,target_off,J5_Selective_Physics_Calibration,D0P1,True,False,6.55409058940658,6.55968841375995,6.69974187209963,0.0,0.14565128269305028,0.0055978243533703065,0.14005345833967997,0.03843305908377974
test,test_048,M2+M3,target_off,J6_Joint_Phase_Surface,D0P1,True,False,6.55409058940658,6.69780992023032,6.69974187209963,0.0,0.14565128269305028,0.1437193308237399,0.0019319518693103888,0.986735771676094
test,test_048,M2+M3,target_on,J0_Current,,False,True,6.55418917485917,6.55418917485917,6.699908373068,0.1457191982088304,0.1457191982088304,0.0,0.1457191982088304,0.0
test,test_048,M2+M3,target_on,J1_D3_delay_only,,False,True,6.55418917485917,6.55418917485917,6.699908373068,0.1457191982088304,0.1457191982088304,0.0,0.1457191982088304,0.0
test,test_048,M2+M3,target_on,J2_P1_phase_only,,True,False,6.55418917485917,6.55970311205248,6.699908373068,0.0,0.1457191982088304,0.00551393719331017,0.14020526101552022,0.037839469754754884
test,test_048,M2+M3,target_on,J3_D3_P1_joint,,True,False,6.55418917485917,6.55970311205248,6.699908373068,0.0,0.1457191982088304,0.00551393719331017,0.14020526101552022,0.037839469754754884
test,test_048,M2+M3,target_on,J4_D3_P2_joint,,True,False,6.55418917485917,6.55971005690692,6.699908373068,0.0,0.1457191982088304,0.005520882047750142,0.14019831616108025,0.03788712891377674
test,test_048,M2+M3,target_on,J5_Selective_Physics_Calibration,D0P1,True,False,6.55418917485917,6.55970311205248,6.699908373068,0.0,0.1457191982088304,0.00551393719331017,0.14020526101552022,0.037839469754754884
test,test_048,M2+M3,target_on,J6_Joint_Phase_Surface,D0P1,True,False,6.55418917485917,6.69778633249386,6.699908373068,0.0,0.1457191982088304,0.14359715763468994,0.002122040574140449,0.98543746740152
test,test_049,M2+M3,target_off,J0_Current,,False,True,4.54184179202608,4.54184179202608,4.0902632619796,-0.4515785300464801,-0.4515785300464801,0.0,-0.4515785300464801,
