scene_id,working_point,seed,delay_error_ns,target_velocity_mps,target_snr_db,condition,role,metric,value,status,denominator,definition
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A3_Blind_target_free_estimated_correction,ON,track_id_switch_count,2.0,passed,,track_id_switch_count; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A0_Ideal,ON,track_pd_all_visible,0.8,passed,5,track_pd_all_visible; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A0_Ideal,ON,track_pd_after_confirmation,1.0,passed,5,track_pd_after_confirmation; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A0_Ideal,ON,track_continuity,0.8,passed,,track_continuity; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A0_Ideal,ON,track_continuity_after_confirmation,1.0,passed,,track_continuity_after_confirmation; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A0_Ideal,ON,position_rmse_m,67.21598545705629,passed,,position_rmse_m; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A0_Ideal,ON,velocity_rmse_mps_ground_speed,5.188652454301404,passed,,velocity_rmse_mps_ground_speed; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A0_Ideal,ON,angle_rmse_deg,0.023815178451899392,passed,,angle_rmse_deg; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A0_Ideal,ON,false_track_count,285.0,passed,,false_track_count; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A0_Ideal,ON,unique_false_track_count,285.0,passed,,unique_false_track_count; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A0_Ideal,ON,track_id_switch_count,0.0,passed,,track_id_switch_count; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A1_Current_unknown_error,ON,track_pd_all_visible,0.8,passed,5,track_pd_all_visible; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A1_Current_unknown_error,ON,track_pd_after_confirmation,1.0,passed,5,track_pd_after_confirmation; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A1_Current_unknown_error,ON,track_continuity,0.8,passed,,track_continuity; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A1_Current_unknown_error,ON,track_continuity_after_confirmation,1.0,passed,,track_continuity_after_confirmation; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A1_Current_unknown_error,ON,position_rmse_m,126.3757146733403,passed,,position_rmse_m; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A1_Current_unknown_error,ON,velocity_rmse_mps_ground_speed,10.360165907320912,passed,,velocity_rmse_mps_ground_speed; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A1_Current_unknown_error,ON,angle_rmse_deg,0.08131062217165272,passed,,angle_rmse_deg; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A1_Current_unknown_error,ON,false_track_count,311.0,passed,,false_track_count; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A1_Current_unknown_error,ON,unique_false_track_count,311.0,passed,,unique_false_track_count; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A1_Current_unknown_error,ON,track_id_switch_count,3.0,passed,,track_id_switch_count; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A2_Known_error_correction_upper_bound,ON,track_pd_all_visible,0.8,passed,5,track_pd_all_visible; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A2_Known_error_correction_upper_bound,ON,track_pd_after_confirmation,1.0,passed,5,track_pd_after_confirmation; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A2_Known_error_correction_upper_bound,ON,track_continuity,0.8,passed,,track_continuity; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A2_Known_error_correction_upper_bound,ON,track_continuity_after_confirmation,1.0,passed,,track_continuity_after_confirmation; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A2_Known_error_correction_upper_bound,ON,position_rmse_m,70.77945065189468,passed,,position_rmse_m; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A2_Known_error_correction_upper_bound,ON,velocity_rmse_mps_ground_speed,3.3328116837349078,passed,,velocity_rmse_mps_ground_speed; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A2_Known_error_correction_upper_bound,ON,angle_rmse_deg,0.04632569094900373,passed,,angle_rmse_deg; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A2_Known_error_correction_upper_bound,ON,false_track_count,306.0,passed,,false_track_count; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A2_Known_error_correction_upper_bound,ON,unique_false_track_count,306.0,passed,,unique_false_track_count; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A2_Known_error_correction_upper_bound,ON,track_id_switch_count,3.0,passed,,track_id_switch_count; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A3_Blind_target_free_estimated_correction,ON,track_pd_all_visible,0.8,passed,5,track_pd_all_visible; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A3_Blind_target_free_estimated_correction,ON,track_pd_after_confirmation,1.0,passed,5,track_pd_after_confirmation; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A3_Blind_target_free_estimated_correction,ON,track_continuity,0.8,passed,,track_continuity; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A3_Blind_target_free_estimated_correction,ON,track_continuity_after_confirmation,1.0,passed,,track_continuity_after_confirmation; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_p2ns,high_velocity,101,2.0,12.0,30.0,A3_Blind_target_free_estimated_correction,ON,position_rmse_m,45.43482726693473,passed,,position_rmse_m; lower values are better; transformed_value=-value for recovery
