scene_id,working_point,seed,delay_error_ns,target_velocity_mps,target_snr_db,level,method,status,estimate_ns,truth_ns,error_ns,runtime_sec,fallback_reason,snr_db,bias_ns,rmse_ns,std_ns,ci95_low_ns,ci95_high_ns,outlier_rate,fallback_rate,fallback_count,finite_estimate_count,trials,mean_runtime_sec,random_seed_namespace,sampling_rate_hz,bandwidth_hz,pulse_samples
base__seed_101__v_p6d7__snr_p35__delay_p4ns,base,101,4.0,6.7,35.0,level2,D1_ordinary_LS,ok,3.1646591819903485,4.0,-0.8353408180096515,0.00017621199367567897,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p4ns,base,101,4.0,6.7,35.0,level2,D2_weighted_LS,ok,3.183373693039725,4.0,-0.8166263069602748,0.0001312340027652681,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p4ns,base,101,4.0,6.7,35.0,level2,D3_Huber_weighted_LS,ok,3.1823213380139537,4.0,-0.8176786619860463,0.0012429869966581464,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p4ns,base,101,4.0,6.7,35.0,level2,cross_correlation,ok,1.0524996471292734,4.0,-2.9475003528707266,1.5867152179998811,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p4ns,base,101,4.0,6.7,35.0,level2,gcc_phat,ok,0.08480339096996876,4.0,-3.915196609030031,1.5305567579925992,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_m4ns,base,101,-4.0,6.7,35.0,level2,D1_ordinary_LS,ok,-0.2537879738733125,-4.0,3.7462120261266874,0.0031718160025775433,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_m4ns,base,101,-4.0,6.7,35.0,level2,D2_weighted_LS,ok,-0.2945186557531431,-4.0,3.705481344246857,0.00022084199008531868,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_m4ns,base,101,-4.0,6.7,35.0,level2,D3_Huber_weighted_LS,ok,-0.38910501145759807,-4.0,3.6108949885424018,0.0015544790076091886,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_m4ns,base,101,-4.0,6.7,35.0,level2,cross_correlation,ok,-1.107789895955872,-4.0,2.892210104044128,1.2239055259851739,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_m4ns,base,101,-4.0,6.7,35.0,level2,gcc_phat,ok,-0.10892032825068193,-4.0,3.891079671749318,1.3807602949964348,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p8ns,base,101,8.0,6.7,35.0,level2,D1_ordinary_LS,ok,5.922807242942102,8.0,-2.0771927570578983,0.00016936601605266333,,,,,,,,,,,,,,,,,
