method,dimension,level,count,mean,median,p05,p10,p90,min,cvar5,fraction_lt_neg_0_1,fraction_lt_neg_0_5,fraction_lt_neg_1_0
J5_Selective_Physics_Calibration,texture,0.35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.37,1,-0.024773254128519717,-0.024773254128519717,-0.024773254128519717,-0.024773254128519717,-0.024773254128519717,-0.024773254128519717,-0.024773254128519717,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.4,1,0.0055978243533703065,0.0055978243533703065,0.0055978243533703065,0.0055978243533703065,0.0055978243533703065,0.0055978243533703065,0.0055978243533703065,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.42,1,-0.022922714326520044,-0.022922714326520044,-0.022922714326520044,-0.022922714326520044,-0.022922714326520044,-0.022922714326520044,-0.022922714326520044,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.45,1,0.04941132840822959,0.04941132840822959,0.04941132840822959,0.04941132840822959,0.04941132840822959,0.04941132840822959,0.04941132840822959,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.47,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.48,1,-0.6324271506811998,-0.6324271506811998,-0.6324271506811998,-0.6324271506811998,-0.6324271506811998,-0.6324271506811998,-0.6324271506811998,1.0,1.0,0.0
J5_Selective_Physics_Calibration,texture,0.49,1,0.2603726983225698,0.2603726983225698,0.2603726983225698,0.2603726983225698,0.2603726983225698,0.2603726983225698,0.2603726983225698,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.51,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.52,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.54,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.55,1,0.5169698577096704,0.5169698577096704,0.5169698577096704,0.5169698577096704,0.5169698577096704,0.5169698577096704,0.5169698577096704,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.56,1,0.5855322019214597,0.5855322019214597,0.5855322019214597,0.5855322019214597,0.5855322019214597,0.5855322019214597,0.5855322019214597,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.58,1,0.10024326961028063,0.10024326961028063,0.10024326961028063,0.10024326961028063,0.10024326961028063,0.10024326961028063,0.10024326961028063,0.0,0.0,0.0
